"Story","Title","Result","Date","Stability","Duration (s)"
"Categories CRUD test with steps","This will create new Category","SUCCESS","2022-01-10T23:12:23.925Z[Europe/London]","0.0","6.74"
"Categories CRUD test with steps","Verify if the Category was created in application","SUCCESS","2022-01-10T23:12:30.724Z[Europe/London]","0.0","0.95"
"Categories CRUD test with steps","Update Category information and verify the updated information","SUCCESS","2022-01-10T23:12:31.677Z[Europe/London]","0.0","0.33"
"Categories CRUD test with steps","Delete Category and verify if the Category is deleted","SUCCESS","2022-01-10T23:12:32.005Z[Europe/London]","0.0","0.25"
"Product CRUD test with steps","This will create a new product","SUCCESS","2022-01-10T23:12:34.819Z[Europe/London]","0.0","0.14"
"Product CRUD test with steps","Verify  the product was added to productlist","SUCCESS","2022-01-10T23:12:34.975Z[Europe/London]","0.0","0.44"
"Product CRUD test with steps","Update product information and verify the updated product information","SUCCESS","2022-01-10T23:12:35.413Z[Europe/London]","0.0","0.63"
"Product CRUD test with steps","Delete the product and verify if the product is deleted","SUCCESS","2022-01-10T23:12:36.038Z[Europe/London]","0.0","0.14"
"Store CRUD test with steps","This will create new store","SUCCESS","2022-01-10T23:12:36.585Z[Europe/London]","0.0","0.11"
"Store CRUD test with steps","Verify if the strore was created in stores list","SUCCESS","2022-01-10T23:12:36.694Z[Europe/London]","0.0","0.25"
"Store CRUD test with steps","Update store information and verify the updated information","SUCCESS","2022-01-10T23:12:36.944Z[Europe/London]","0.0","0.3"
"Store CRUD test with steps","Delete store and verify if the product is deleted","SUCCESS","2022-01-10T23:12:37.241Z[Europe/London]","0.0","0.14"
